filename,URL,md5,size
testnet-geth-pbss-base-68395362.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-base-68395362.tar.lz4,389e972ccd7dfcc6218c941af66855f8,129.11GB
testnet-geth-pbss-blocks-42048000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-42048000.tar.lz4,60e1af49b60e23d795e5375b88b8a613,72.20GB
testnet-geth-pbss-blocks-21024000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-21024000.tar.lz4,7378acc5b51c52f34e4e02497c719804,35.94GB
testnet-geth-pbss-blocks-31536000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-31536000.tar.lz4,0428e85d9771a5664e0053305ec30e23,35.46GB
testnet-geth-pbss-blocks-52560000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-52560000.tar.lz4,4470dfad7fc649fe652f988b90894422,27.59GB
testnet-geth-pbss-blocks-63072000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-63072000.tar.lz4,0641f00da8e62c317b73dffbe48401aa,22.21GB
testnet-geth-pbss-blocks-10512000.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-10512000.tar.lz4,5c4efc11b698d26f1c085b9b4796222d,11.77GB
testnet-geth-pbss-blocks-68305362.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/testnet-geth-pbss-blocks-68305362.tar.lz4,122a16770e8226843d67b4ab3d161549,8.39GB
