filename,URL,md5,size
mainnet-geth-pbss-base-49987579.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/mainnet-geth-pbss-base-49987579.tar.lz4,,992.09GB
mainnet-geth-pbss-blocks-pruneancient-49897579.tar.lz4,https://pub-c0627345c16f47ab858c9469133073a8.r2.dev/mainnet-geth-pbss-blocks-pruneancient-49897579.tar.lz4,59a0f9a36fa6c7c49dde9e50d3e9ecde,0.00GB
